Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Gender,Exam_Score
12.0,86.0,Low,High,Yes,6.0,74.0,Low,Yes,1,Medium,Low,Public,Positive,0.0,No,Female,83.3
21.0,96.0,High,Low,No,5.0,80.0,Medium,No,1,Low,Medium,Public,Positive,3.0,No,Female,100.0
24.0,76.0,Low,Low,No,9.0,69.0,Low,Yes,0,High,Medium,Public,Neutral,1.0,No,Female,90.8
21.0,78.0,Medium,High,Yes,9.0,73.0,Low,Yes,0,High,Medium,Public,Positive,3.0,No,Male,100.0
19.0,74.0,High,Medium,No,5.0,63.0,Medium,No,1,Medium,Medium,Private,Positive,6.0,No,Female,92.1
18.0,70.0,High,Medium,Yes,8.0,75.0,Medium,Yes,3,Medium,Low,Public,Negative,3.0,No,Female,89.5
11.0,74.0,Low,Medium,Yes,6.0,65.0,Medium,Yes,0,Low,Medium,Private,Positive,6.0,No,Female,80.5
16.0,68.0,Medium,Medium,No,7.0,62.0,Medium,Yes,0,Medium,Medium,Public,Positive,2.0,No,Female,87.2
17.0,80.0,Medium,High,No,7.0,78.0,Medium,Yes,1,Medium,Medium,Private,Positive,1.0,No,Female,100.0
26.0,72.0,Medium,Medium,No,7.0,78.0,Medium,Yes,0,Medium,Medium,Private,Positive,1.0,No,Male,100.0
22.0,82.0,Low,Medium,Yes,6.0,84.0,Low,Yes,0,Medium,Medium,Private,Positive,3.0,Yes,Female,89.3
9.0,64.0,Medium,High,Yes,6.0,70.0,Medium,Yes,1,Medium,Medium,Public,Neutral,6.0,Yes,Female,81.1
22.0,83.0,Medium,Medium,Yes,6.0,80.0,Medium,Yes,2,High,Medium,Public,Positive,1.0,No,Male,100.0
18.0,88.0,Low,Medium,Yes,6.0,82.0,Medium,Yes,0,Low,Medium,Public,Negative,4.0,No,Female,88.0
16.0,60.0,Medium,Medium,No,7.0,80.0,Medium,Yes,0,Medium,Low,Public,Positive,2.0,No,Male,88.0
24.0,84.0,Medium,Medium,Yes,6.0,65.0,Medium,Yes,5,High,Medium,Public,Neutral,3.0,No,Male,100.0
26.0,92.0,High,High,No,8.0,77.0,Medium,Yes,1,Medium,High,Private,Neutral,1.0,No,Female,100.0
26.0,68.0,High,High,Yes,9.0,79.0,Medium,Yes,0,Medium,Medium,Public,Neutral,4.0,No,Female,100.0
15.0,97.0,Medium,Low,Yes,6.0,75.0,Medium,Yes,0,Medium,Low,Private,Neutral,3.0,No,Female,92.9
18.0,84.0,High,Low,Yes,7.0,50.0,Medium,Yes,3,High,High,Public,Negative,5.0,No,Female,96.9
22.0,73.0,High,Low,Yes,8.0,77.0,Low,Yes,0,Low,Medium,Private,Positive,3.0,No,Male,100.0
26.0,79.0,Medium,Medium,No,8.0,100.0,Low,Yes,2,Medium,Low,Public,Neutral,0.0,No,Female,100.0
17.0,86.0,Low,Low,Yes,7.0,71.0,Low,Yes,1,Low,Medium,Public,Negative,5.0,No,Male,77.7
19.0,81.0,Medium,Medium,Yes,8.0,66.0,Medium,Yes,1,Low,Medium,Private,Positive,0.0,No,Male,96.2
13.0,85.0,Medium,High,No,8.0,79.0,High,Yes,1,Medium,Medium,Public,Positive,0.0,No,Male,100.0
13.0,71.0,Medium,High,No,5.0,79.0,Medium,Yes,2,Low,Medium,Private,Positive,2.0,No,Female,85.7
25.0,82.0,Medium,Medium,Yes,8.0,89.0,Low,No,1,High,Medium,Public,Neutral,2.0,No,Female,100.0
28.0,66.0,Medium,Medium,Yes,8.0,60.0,High,Yes,0,High,Medium,Public,Positive,5.0,No,Female,99.7
20.0,79.0,Medium,Medium,No,6.0,84.0,High,Yes,2,Medium,Medium,Private,Positive,3.0,No,Female,100.0
26.0,71.0,Low,High,No,7.0,82.0,High,Yes,1,Medium,Medium,Public,Neutral,5.0,No,Male,100.0
22.0,73.0,High,High,No,8.0,73.0,Medium,No,1,Medium,Medium,Private,Neutral,2.0,No,Female,100.0
16.0,92.0,Medium,High,Yes,7.0,79.0,High,Yes,3,High,Low,Public,Positive,3.0,Yes,Male,91.4
22.0,91.0,High,Medium,No,8.0,87.0,Low,Yes,2,Medium,Low,Private,Positive,4.0,No,Male,100.0
29.0,86.0,Low,Medium,Yes,10.0,85.0,Low,No,2,Low,Medium,Public,Neutral,4.0,No,Female,100.0
20.0,69.0,High,Low,Yes,6.0,61.0,Low,Yes,4,High,High,Public,Negative,2.0,No,Female,96.4
29.0,77.0,Low,Medium,No,5.0,85.0,Medium,Yes,3,Medium,Medium,Public,Neutral,2.0,No,Female,100.0
4.0,92.0,Low,Medium,Yes,7.0,74.0,Low,Yes,0,Medium,Medium,Public,Neutral,3.0,No,Female,70.1
25.0,81.0,Low,Medium,Yes,8.0,76.0,Medium,Yes,2,High,Low,Public,Positive,1.0,No,Female,100.0
21.0,100.0,Medium,Medium,Yes,7.0,76.0,Medium,Yes,1,High,Medium,Public,Positive,3.0,No,Female,100.0
18.0,84.0,High,Medium,Yes,9.0,73.0,Medium,No,1,Medium,Low,Public,Neutral,2.0,No,Male,97.6
21.0,82.0,Medium,Low,No,5.0,89.0,High,Yes,1,Medium,High,Public,Negative,4.0,No,Male,95.5
8.0,77.0,High,Low,No,8.0,74.0,Low,Yes,3,High,Medium,Public,Neutral,3.0,No,Male,82.7
19.0,81.0,Medium,Low,Yes,6.0,62.0,Medium,Yes,0,Low,High,Public,Negative,5.0,No,Male,81.3
22.0,78.0,Medium,Low,Yes,9.0,70.0,High,Yes,1,Medium,Medium,Public,Negative,3.0,No,Male,91.8
29.0,87.0,High,Low,No,10.0,77.0,Low,Yes,4,Low,High,Public,Positive,2.0,No,Female,100.0
17.0,90.0,Medium,Medium,No,6.0,90.0,Medium,Yes,1,High,Medium,Public,Positive,3.0,Yes,Female,99.5
15.0,72.0,Medium,Medium,Yes,6.0,82.0,High,Yes,2,Medium,Low,Private,Positive,4.0,Yes,Female,90.2
17.0,67.0,High,High,No,8.0,65.0,High,Yes,2,Low,High,Public,Positive,0.0,No,Male,100.0
25.0,62.0,High,Medium,No,6.0,100.0,High,Yes,1,High,Medium,Private,Positive,2.0,No,Male,100.0
22.0,85.0,High,Low,Yes,7.0,78.0,Medium,Yes,1,Medium,High,Public,Negative,2.0,No,Male,100.0
17.0,69.0,High,Medium,Yes,7.0,90.0,Medium,Yes,4,High,Low,Private,Positive,4.0,No,Female,94.7
23.0,60.0,Low,High,Yes,5.0,73.0,Low,Yes,2,Low,Medium,Public,Positive,4.0,No,Male,100.0
21.0,84.0,High,Medium,No,7.0,81.0,Low,Yes,2,Medium,Medium,Public,Positive,3.0,No,Female,95.3
26.0,100.0,Medium,Medium,Yes,6.0,85.0,Low,No,2,Medium,Low,Private,Negative,0.0,No,Female,97.8
16.0,80.0,High,Medium,Yes,6.0,90.0,Medium,Yes,3,Medium,Medium,Private,Neutral,1.0,No,Female,93.7
18.0,88.0,Medium,High,Yes,9.0,88.0,High,Yes,2,Medium,Medium,Public,Negative,3.0,Yes,Male,100.0
18.0,81.0,Medium,High,No,5.0,85.0,Medium,Yes,1,High,Low,Public,Negative,2.0,No,Female,96.2
11.0,79.0,Medium,Medium,Yes,8.0,71.0,Medium,No,2,Medium,Medium,Public,Neutral,3.0,No,Female,97.7
22.0,89.0,Medium,High,No,7.0,68.0,Medium,Yes,1,High,Medium,Public,Positive,2.0,No,Female,100.0
22.0,77.0,Low,High,No,7.0,79.0,Medium,Yes,2,Low,Low,Private,Positive,5.0,No,Male,96.2
20.0,83.0,High,Medium,Yes,8.0,86.0,High,Yes,2,Low,Medium,Public,Positive,0.0,Yes,Male,100.0
19.0,83.0,High,Medium,Yes,7.0,72.0,Low,Yes,2,Low,Medium,Public,Neutral,3.0,No,Male,91.5
12.0,73.0,Low,Medium,Yes,8.0,88.0,Medium,No,2,Medium,Medium,Public,Positive,4.0,No,Female,99.2
17.0,90.0,High,High,No,8.0,92.0,Medium,Yes,2,Medium,High,Public,Positive,4.0,No,Male,100.0
18.0,78.0,Medium,Low,Yes,7.0,64.0,Low,Yes,1,High,Medium,Public,Neutral,4.0,Yes,Female,79.8
15.0,72.0,Medium,High,Yes,6.0,65.0,Medium,Yes,0,Medium,Medium,Private,Neutral,4.0,No,Male,94.3
19.0,85.0,Medium,Low,Yes,6.0,73.0,High,Yes,2,Medium,Medium,Public,Neutral,2.0,No,Male,99.2
22.0,71.0,High,Medium,Yes,6.0,79.0,Low,No,0,Medium,High,Private,Positive,1.0,No,Female,100.0
31.0,80.0,Medium,High,No,10.0,69.0,Low,Yes,0,Low,Low,Public,Negative,0.0,No,Male,100.0
21.0,80.0,Medium,Medium,No,9.0,91.0,Low,Yes,2,Low,Medium,Public,Neutral,2.0,No,Female,94.7
22.0,91.0,Medium,Medium,No,7.0,80.0,High,Yes,1,Medium,Medium,Public,Positive,2.0,Yes,Female,100.0
20.0,85.0,Low,Low,Yes,5.0,75.0,Medium,Yes,0,Medium,Medium,Public,Neutral,5.0,No,Female,97.8
8.0,80.0,Medium,Medium,Yes,8.0,58.0,Medium,Yes,0,High,High,Private,Negative,3.0,No,Female,84.0
20.0,88.0,Low,Low,No,8.0,59.0,Medium,Yes,1,Medium,High,Public,Positive,1.0,No,Female,97.2
20.0,94.0,Low,Medium,Yes,8.0,78.0,High,Yes,1,Medium,High,Public,Positive,1.0,No,Female,100.0
35.0,86.0,Medium,Medium,No,7.0,49.0,High,Yes,3,Medium,Medium,Public,Neutral,6.0,Yes,Male,100.0
19.0,80.0,High,High,Yes,7.0,87.0,High,Yes,2,High,Medium,Public,Positive,3.0,No,Female,100.0
22.0,67.0,Medium,High,Yes,7.0,73.0,High,No,1,Low,High,Private,Negative,2.0,No,Female,100.0
20.0,69.0,Low,Low,No,7.0,100.0,Medium,Yes,1,Medium,Medium,Public,Positive,3.0,No,Female,96.5
13.0,77.0,Medium,High,No,4.0,100.0,Medium,Yes,4,Medium,Medium,Private,Neutral,6.0,No,Female,100.0
27.0,74.0,High,Low,No,7.0,73.0,High,Yes,2,High,Medium,Public,Neutral,2.0,No,Female,100.0
25.0,78.0,Medium,Low,Yes,6.0,74.0,High,Yes,1,Low,Medium,Public,Neutral,4.0,No,Female,100.0
25.0,81.0,High,Low,Yes,7.0,87.0,Low,Yes,1,Medium,Medium,Public,Positive,5.0,No,Male,100.0
15.0,85.0,Medium,High,No,10.0,95.0,Low,Yes,1,Medium,High,Private,Positive,0.0,No,Female,100.0
28.0,79.0,High,High,No,7.0,55.0,High,Yes,0,Medium,Low,Private,Positive,2.0,No,Female,100.0
12.0,85.0,Low,Low,No,7.0,54.0,Low,No,3,Low,Low,Public,Positive,5.0,No,Female,80.4
24.0,81.0,Medium,Low,Yes,8.0,68.0,High,Yes,2,Low,Medium,Public,Positive,2.0,No,Male,100.0
33.0,60.0,Medium,Medium,No,8.0,82.0,Medium,Yes,0,Medium,Medium,Public,Negative,4.0,Yes,Female,100.0
14.0,71.0,Medium,Medium,No,8.0,81.0,Low,Yes,5,Medium,Low,Public,Positive,2.0,No,Male,94.9
17.0,79.0,High,Medium,No,8.0,88.0,Low,Yes,0,Low,Medium,Public,Neutral,2.0,Yes,Female,90.4
21.0,68.0,High,Medium,Yes,10.0,61.0,Low,Yes,1,Medium,Medium,Public,Neutral,2.0,No,Male,93.7
17.0,86.0,Low,High,Yes,6.0,47.0,Low,Yes,3,Low,High,Public,Neutral,4.0,No,Female,96.7
11.0,95.0,Low,Medium,No,8.0,85.0,Medium,Yes,1,High,Medium,Public,Negative,3.0,No,Male,81.4
20.0,92.0,Medium,High,No,6.0,65.0,Medium,Yes,2,Medium,High,Public,Positive,3.0,No,Male,100.0
14.0,78.0,Medium,Medium,No,8.0,51.0,High,Yes,2,High,Medium,Private,Negative,6.0,No,Female,90.5
23.0,95.0,Medium,Medium,No,6.0,77.0,Medium,Yes,1,Medium,Medium,Public,Neutral,6.0,No,Male,100.0
14.0,81.0,High,High,No,6.0,85.0,Medium,Yes,3,High,Medium,Private,Negative,0.0,No,Male,100.0
29.0,77.0,High,High,Yes,7.0,74.0,Medium,No,1,Medium,Low,Public,Neutral,2.0,No,Male,100.0
15.0,74.0,Medium,Medium,Yes,8.0,70.0,Medium,Yes,2,Medium,Medium,Public,Neutral,6.0,No,Female,92.6
18.0,77.0,High,Medium,Yes,8.0,73.0,Medium,Yes,2,Medium,Medium,Public,Positive,2.0,No,Female,97.0
25.0,76.0,Medium,High,Yes,5.0,71.0,Low,Yes,2,Medium,Low,Public,Positive,6.0,No,Male,100.0
13.0,82.0,Low,Low,Yes,7.0,59.0,Low,No,0,Medium,Medium,Public,Neutral,2.0,No,Female,84.0
21.0,82.0,Medium,Low,Yes,6.0,66.0,Low,Yes,1,Low,Medium,Public,Negative,3.0,No,Male,90.9
28.0,80.0,Medium,Medium,Yes,5.0,81.0,Low,Yes,4,Low,Medium,Private,Neutral,4.0,No,Female,100.0
10.0,84.0,Medium,High,Yes,7.0,79.0,Medium,No,0,Medium,Low,Public,Positive,3.0,No,Female,86.4
21.0,92.0,Low,High,Yes,7.0,77.0,Low,Yes,1,Medium,Low,Private,Negative,4.0,No,Female,91.0
22.0,89.0,Medium,High,Yes,10.0,63.0,High,Yes,0,Low,Medium,Public,Neutral,5.0,No,Female,100.0
25.0,65.0,Medium,Medium,Yes,8.0,73.0,High,Yes,2,Medium,Medium,Public,Positive,4.0,No,Male,100.0
13.0,60.0,High,Low,No,5.0,49.0,High,Yes,4,Medium,Medium,Public,Positive,3.0,No,Male,85.1
12.0,89.0,Medium,Medium,Yes,6.0,77.0,High,Yes,3,High,Low,Private,Positive,6.0,No,Female,89.6
23.0,66.0,High,High,Yes,8.0,92.0,Low,Yes,0,Low,Medium,Public,Negative,4.0,No,Male,100.0
22.0,78.0,High,Low,No,10.0,57.0,Medium,Yes,1,Medium,High,Private,Negative,2.0,No,Male,100.0
22.0,68.0,Medium,Low,No,5.0,68.0,Low,Yes,0,High,Medium,Public,Positive,6.0,No,Male,97.7
22.0,62.0,Medium,Low,Yes,5.0,79.0,High,No,1,Medium,High,Private,Positive,4.0,No,Male,100.0
16.0,85.0,High,Medium,No,9.0,90.0,High,Yes,3,Low,Low,Public,Neutral,3.0,Yes,Female,90.8
21.0,88.0,Medium,High,No,8.0,70.0,High,Yes,0,High,High,Public,Negative,0.0,No,Male,100.0
22.0,74.0,High,Medium,No,6.0,67.0,Medium,Yes,3,Medium,Medium,Public,Neutral,1.0,No,Male,100.0
16.0,60.0,Low,High,Yes,8.0,51.0,High,Yes,2,Medium,High,Public,Neutral,6.0,No,Female,100.0
31.0,75.0,Low,Low,No,4.0,76.0,Low,Yes,2,High,Medium,Public,Positive,6.0,No,Male,100.0
23.0,84.0,High,High,Yes,7.0,100.0,Low,Yes,1,High,Medium,Public,Neutral,3.0,No,Female,100.0
13.0,65.0,High,High,No,7.0,78.0,High,Yes,2,Medium,Medium,Public,Positive,0.0,Yes,Male,91.7
24.0,82.0,High,Medium,No,8.0,75.0,Medium,Yes,1,Low,Medium,Public,Negative,1.0,No,Female,100.0
14.0,80.0,Medium,High,Yes,6.0,79.0,High,Yes,1,Medium,High,Public,Positive,1.0,No,Male,100.0
25.0,86.0,High,Medium,No,7.0,75.0,Low,Yes,6,Low,Medium,Public,Negative,1.0,No,Male,100.0
27.0,81.0,High,High,Yes,6.0,65.0,High,Yes,2,Low,High,Public,Positive,6.0,No,Male,100.0
15.0,70.0,High,High,No,7.0,85.0,Medium,No,1,Medium,Medium,Private,Negative,6.0,No,Female,90.3
26.0,92.0,Medium,High,No,6.0,78.0,High,Yes,2,High,Medium,Private,Positive,1.0,No,Female,100.0
22.0,78.0,Medium,Medium,Yes,6.0,75.0,High,Yes,0,High,Low,Public,Neutral,3.0,No,Female,98.1
25.0,80.0,High,Low,No,6.0,63.0,High,Yes,0,Medium,High,Private,Neutral,1.0,Yes,Male,100.0
31.0,71.0,Medium,Medium,Yes,8.0,91.0,Low,No,2,Medium,Medium,Public,Positive,3.0,No,Male,100.0
19.0,76.0,Medium,Medium,Yes,8.0,83.0,High,Yes,2,Low,Medium,Public,Negative,5.0,No,Male,96.5
15.0,71.0,Medium,High,No,7.0,68.0,Low,Yes,1,Low,Medium,Public,Neutral,5.0,No,Male,84.7
15.0,78.0,Medium,High,Yes,7.0,87.0,Low,Yes,0,Low,Medium,Private,Neutral,4.0,No,Male,100.0
15.0,97.0,Medium,High,No,5.0,69.0,Medium,Yes,1,High,High,Public,Negative,3.0,No,Female,87.8
20.0,66.0,Low,Low,Yes,7.0,66.0,High,Yes,1,Low,Low,Private,Negative,5.0,No,Female,91.3
22.0,64.0,High,High,Yes,7.0,66.0,Medium,Yes,0,High,Medium,Private,Neutral,4.0,No,Female,100.0
22.0,95.0,Medium,High,No,10.0,54.0,High,Yes,1,Medium,Low,Public,Negative,4.0,No,Female,100.0
25.0,78.0,Medium,High,Yes,6.0,81.0,Medium,Yes,0,Low,High,Public,Positive,3.0,No,Female,100.0
20.0,73.0,Low,Low,No,9.0,53.0,Low,Yes,1,Low,Low,Public,Positive,3.0,No,Male,82.7
29.0,90.0,Low,Low,No,8.0,60.0,High,No,0,Medium,Low,Public,Neutral,3.0,Yes,Female,91.6
18.0,74.0,Low,Low,No,7.0,50.0,Low,Yes,5,High,Medium,Public,Positive,2.0,No,Female,99.1
36.0,98.0,Medium,Medium,No,9.0,74.0,High,Yes,4,Medium,Medium,Public,Neutral,2.0,No,Male,100.0
24.0,87.0,Low,Medium,No,7.0,73.0,Medium,Yes,3,Medium,Medium,Public,Positive,2.0,No,Male,98.3
15.0,75.0,High,High,Yes,8.0,71.0,Medium,Yes,1,Medium,Low,Public,Neutral,2.0,Yes,Female,87.3
14.0,100.0,Low,Medium,No,7.0,62.0,Medium,Yes,1,Medium,High,Public,Negative,3.0,Yes,Female,85.7
23.0,74.0,Low,Medium,Yes,9.0,61.0,Low,Yes,0,High,High,Public,Neutral,2.0,No,Male,88.5
19.0,87.0,Low,Medium,Yes,8.0,81.0,Medium,Yes,1,Medium,Medium,Public,Negative,2.0,No,Female,87.6
24.0,83.0,Low,High,No,6.0,68.0,Low,Yes,3,Medium,Medium,Public,Neutral,2.0,No,Male,100.0
23.0,93.0,High,High,No,5.0,79.0,Low,Yes,2,Medium,Medium,Public,Positive,3.0,No,Male,100.0
20.0,96.0,High,High,No,7.0,64.0,Low,Yes,0,Medium,Medium,Private,Positive,5.0,No,Male,100.0
15.0,80.0,Medium,Medium,No,6.0,77.0,Medium,Yes,1,Medium,Medium,Public,Positive,3.0,No,Male,93.5
11.0,72.0,Low,Medium,No,7.0,91.0,High,No,3,Low,Medium,Public,Negative,3.0,Yes,Female,83.8
17.0,85.0,Medium,High,No,9.0,82.0,Medium,Yes,2,Medium,Medium,Private,Positive,2.0,No,Female,100.0
25.0,73.0,Medium,Medium,Yes,6.0,70.0,High,Yes,1,High,Medium,Public,Positive,3.0,No,Female,100.0
21.0,100.0,High,Medium,Yes,7.0,78.0,Medium,Yes,2,Medium,High,Private,Negative,5.0,No,Male,100.0
13.0,81.0,Low,Low,Yes,7.0,72.0,Medium,Yes,1,Low,Medium,Public,Neutral,5.0,Yes,Female,76.8
21.0,76.0,Medium,Low,No,8.0,75.0,Medium,Yes,2,High,Medium,Private,Positive,4.0,No,Male,96.9
22.0,82.0,Medium,High,Yes,4.0,71.0,Medium,Yes,2,Low,Low,Private,Positive,4.0,No,Male,100.0
15.0,67.0,Medium,Low,Yes,6.0,73.0,Medium,Yes,0,Low,Medium,Public,Negative,4.0,No,Female,82.7
21.0,70.0,Medium,Medium,Yes,7.0,78.0,Low,No,2,Low,Medium,Public,Negative,4.0,No,Male,93.2
20.0,92.0,Low,Medium,No,9.0,63.0,High,Yes,1,Medium,Medium,Private,Positive,3.0,Yes,Male,100.0
13.0,73.0,High,Medium,No,6.0,63.0,High,Yes,1,Medium,High,Private,Neutral,2.0,No,Male,86.5
22.0,70.0,Low,Medium,Yes,5.0,58.0,Low,Yes,2,Medium,High,Private,Negative,3.0,No,Male,81.3
23.0,85.0,Medium,Medium,Yes,8.0,56.0,High,Yes,1,Medium,Medium,Public,Neutral,3.0,No,Female,100.0
26.0,92.0,Low,Low,Yes,6.0,60.0,Low,Yes,1,Medium,Medium,Private,Negative,4.0,No,Female,96.1
26.0,87.0,High,Low,Yes,5.0,77.0,Low,Yes,0,High,High,Public,Neutral,3.0,No,Female,100.0
12.0,90.0,Low,Medium,Yes,6.0,64.0,Low,Yes,1,Low,Medium,Public,Negative,6.0,No,Female,78.9
14.0,72.0,High,Medium,No,7.0,81.0,High,Yes,2,High,Low,Public,Positive,1.0,No,Female,98.2
23.0,66.0,High,Medium,No,6.0,75.0,High,Yes,1,Medium,Medium,Public,Positive,4.0,No,Female,100.0
23.0,95.0,High,Low,Yes,4.0,51.0,High,Yes,3,Medium,Low,Public,Neutral,3.0,No,Male,100.0
23.0,77.0,Medium,High,Yes,8.0,83.0,Low,Yes,2,Medium,High,Public,Neutral,3.0,No,Female,100.0
43.0,77.0,Medium,Medium,Yes,9.0,85.0,Medium,Yes,0,Medium,Medium,Public,Negative,2.0,No,Male,100.0
23.0,93.0,Medium,Low,Yes,8.0,63.0,Medium,No,0,Low,Medium,Public,Positive,5.0,No,Female,100.0
27.0,86.0,Low,Low,Yes,6.0,80.0,Low,No,2,High,Low,Private,Negative,4.0,No,Male,100.0
26.0,85.0,Medium,High,Yes,7.0,65.0,Medium,Yes,3,Low,Medium,Public,Positive,4.0,No,Female,100.0
24.0,100.0,Low,Medium,Yes,7.0,76.0,Low,Yes,0,Low,High,Public,Neutral,3.0,No,Female,92.8
18.0,74.0,High,Medium,No,8.0,60.0,Low,No,2,Medium,Low,Public,Positive,3.0,Yes,Female,99.4
25.0,89.0,Low,High,No,8.0,53.0,Medium,Yes,2,Medium,Medium,Public,Neutral,3.0,No,Female,100.0
15.0,81.0,Medium,High,No,6.0,70.0,Medium,Yes,2,Low,High,Public,Neutral,4.0,No,Male,100.0
19.0,83.0,Medium,High,Yes,7.0,74.0,Low,Yes,0,High,Medium,Public,Positive,0.0,No,Female,93.0
17.0,95.0,Medium,Medium,No,8.0,70.0,Low,Yes,2,High,Medium,Public,Positive,4.0,No,Male,100.0
20.0,85.0,Medium,Medium,No,9.0,61.0,Low,Yes,2,Medium,Medium,Private,Neutral,6.0,No,Male,90.2
34.0,85.0,Low,Low,Yes,8.0,70.0,Low,Yes,0,Medium,Medium,Public,Negative,4.0,No,Male,99.9
9.0,91.0,Medium,High,Yes,8.0,78.0,Low,Yes,0,Medium,Low,Public,Positive,3.0,Yes,Male,75.1
